2025-04-13 21:43:40 - Added Treasure ID: 46, User: klsa, Coordinate: (1.00, 1.00), Clue: 1, Value: 1
2025-04-13 21:44:04 - Added Treasure ID: 47, User: lsa, Coordinate: (1.00, 1.00), Clue: 11, Value: 1
2025-04-13 21:45:45 - Added Treasure ID: 48, User: ksa, Coordinate: (1.00, 1.00), Clue: 1, Value: 1
2025-04-13 21:48:34 - Added Treasure ID: 49, User: ksas, Coordinate: (1.00, 1.00), Clue: 1, Value: 1
2025-04-13 21:51:09 - Added Treasure ID: 50, User: klsa, Coordinate: (1.00, 1.00), Clue: 1, Value: 1
2025-04-13 21:51:53 - Added Treasure ID: 51, User: dsa, Coordinate: (1.00, 1.00), Clue: 1, Value: 1
2025-04-13 21:53:40 - Added Treasure ID: 52, User: kdsal1, Coordinate: (1.00, 1.00), Clue: 1, Value: 1
2025-04-13 21:56:43 - Added Treasure ID: 53, User: kdsahk, Coordinate: (1.00, 1.00), Clue: 1, Value: 1
2025-04-13 21:57:01 - Added Treasure ID: 54, User: hdsja1, Coordinate: (1.00, 1.00), Clue: 1, Value: 1
2025-04-13 21:57:38 - Added Treasure ID: 55, User: jsjaj1, Coordinate: (1.00, 1.00), Clue: 1, Value: 1
2025-04-13 21:57:55 - Added Treasure ID: 56, User: mna, Coordinate: (1.00, 1.00), Clue: 1, Value: 1
2025-04-13 22:01:51 - Added Treasure ID: 10, User: dsa, Coordinate: (1.00, 1.00), Clue: 1, Value: 1
2025-04-13 22:02:38 - Added Treasure ID: 10, User: hdjsa1, Coordinate: (1.00, 1.00), Clue: 1, Value: 1
